40.00k,20.00k,15.00k,9.99k,7.50k,4.99k,2.50k,1.00k,0.00k
0.0079345,0.0058105,0.005053,0.004192,0.003647,0.0029665,0.002171,0.001456,0.0005806
0.007955,0.0058005,0.0050335,0.004158,0.0036395,0.0029595,0.0021705,0.0014505,0.0005952
0.0079625,0.005723,0.0050635,0.004135,0.003609,0.002958,0.002123,0.0014345,0.0005892
0.0080745,0.0057635,0.005076,0.004119,0.003628,0.002968,0.0021495,0.00145,0.0005801
0.0080255,0.0058105,0.0050365,0.004184,0.0036235,0.002962,0.0021835,0.001474,0.0005838
